1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,"-","-","-"
"Name founder","Male",24,"email","url_linkedin_profile","proyect name","Science and Engineering","To have thoroughly analyzed the financial prospects of my business","Take advantage of business opportunity",3,"Spanish",28,"COO",30,true,"N/A","N/A","To play a proactive role in changing how the world operates","Undergraduate","Engineering (incl. computer sciences and architecture)",4,1,0,"N/A",9000,true,2,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",3000,80000,false,3,"Friends",4,"soft skills as communication, languages ​​and experience in the business world","I am happy performing the function of COO, dedicating myself to coordinating the day to day of my company. I like working in a team and leading projects",false,"leader name","2020-01-10",true,"Ltd (Spanish S.L.)","2020-09-02","Product-Market fit","Pre-seed","url_project","url_project_linkedin","USV and technological products with the mission to digitize the nautical industry.",true,true,"B2B",false,900,"Excellent","N/A",0,3000,5000,12,false,"Ocean Alpha",3,"Spain","Valencia","Spain",false,"There is not competitors in Spain","Tech",10,false,4610000000,5,"Tech","Our technology and the innovative way of applying it","2021-10-01",false,"N/A","If Proteus Innovation fails, i would start an other project.","[""Investors"",""Incubators/accelerators"",""Public Institutions"",""Media""]","N/A",4,"N/A","project","questionnaireid","founder"
"Name founder","Female",31,"email","url_linkedin_profile","proyect name","Clothing and Apparel","To provide a product/service that is useful to a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Take advantage of business opportunity",1,"Spanish",46,"CEO",60,true,"N/A","N/A","To play a proactive role in shaping the activities of a group of people that I strongly identify with","Masters","Engineering (incl. computer sciences and architecture)",8,0,1,false,27000,true,35,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",7000,60,false,2,"Incubator",1,"Marketing","Marketing",true,"leader name","2019-12-01",true,"Ltd (Spanish S.L.)","2020-02-17","Product-Market fit","Pre-seed","url_project","url_project_linkedin","A brand that combines INNOVATION and CRAFTSMANSHIP, giving technological solutions to ballerinas but keeping the traditional essence of ballet.",true,true,"B2C",true,58,"Good",30,1620,130000,"N/A",18,false,"So Dança",2,"Spain","Valencia","Spain",true,"So Dança","Service",1,false,800000000,5,"Physical products","Utility Model","2021-02-01",false,"N/A","In case the pointe shoe get really hard to sell at the beginning, we'll include other products to our ecommerce earlier. For example, we are already in conversations with a high-quality and innovative demi-pointe shoes brand that would like to merge with us in the middle term.","[""Public Institutions"",""Incubators/accelerators"",""Suppliers""]","There are already three dance shops (2 in Spain 1 in Portugal) that are interested in our product. We will be in contact with them in the coming months to see how we could establish a business relation to sell our pointe shoes also in these stores.",5,"N/A","project","questionnaireid","founder"
"Name founder","Male",29,"email","url_linkedin_profile","proyect name","Community and Lifestyle","To make the world a “better place” (e.g., by pursuing social justice, protecting the environment)","Take advantage of business opportunity",0,"Spanish",21,"COO",40,true,"N/A","N/A","To play a proactive role in changing how the world operates","Masters","Law & Economics (incl. business sciences)",5,3,1,false,3000,true,10,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",1000,50000,false,3,"Incubator",1,"Better project management skills and process definition","Psychology protocol developer",true,"leader name","2020-03-03",true,"Ltd (Spanish S.L.)","2020-07-16","MVP","Pre-seed","url_project","url_project_linkedin","First psychology coaching App to treat emotional challenges using advance neuroscience techniques",true,true,"B2C",false,22,"Excellent",5,0,280000,1500000,6,false,"Psious",3,"Spain","Madrid","Spain",false,"Psious","Tech",1,false,690000000,8,"Tech","Validated therapy method, improving the classical cognitive behavioral approach","2021-09-01",false,"N/A","To entrepreneur again, I do not want to go back to consulting. But if I do not have any good entrepreneurship opportunity I would consider going back to consulting.","[""Incubators/accelerators""]","The main investors advantage in this project is the team as it is perfectly balanced and covers every aspect of the project. Both from a business point of view and developing point of view, And another advantage is our scientifically proven therapy method, that nobody else id using around the world in such a technological product.",5,"Some questions are not really so clear and some questions connected with previous ones are not so clearly defined.","project","questionnaireid","founder"
"Name founder","Female",40,"email","url_linkedin_profile","proyect name","Community and Lifestyle","To have thoroughly analyzed the financial prospects of my business","Take advantage of business opportunity",7,"Finnish",21,"CEO",45,true,"N/A","N/A","To play a proactive role in changing how the world operates","Masters","Engineering (incl. computer sciences and architecture)",17,7,2,false,0,true,5,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",1000,70000,false,4,"Incubator",1,"Neuroscience, software development","Senior NLP (Neuro Linguistic Programming) professional for product development",true,"leader name","2020-03-13",true,"Ltd (Spanish S.L.)","2020-07-16","MVP","Pre-seed","url_project","url_project_linkedin","New technology helping people to become the best version of themselves.",true,true,"B2C",false,22,"Excellent",5,0,280000,1500000,6,false,"None of the current players is solving the problem using Neuro Linguistic Programming, but the best inspiration within Virtual Therapy is Psious. Their solution is based on cognitive behaviour therapy and focused on B2B only.",3,"Spain","Madrid","Spain",false,"Psious","Tech",1,false,690000000,8,"Tech","Validated therapy method based on Neuro Linguistic Programming) combined with biosensing technology.","2021-09-01",false,"N/A","To start a new business.","[""Incubators/accelerators""]","I really believe that VRIBUS can be a game change in the virtual coaching and self improvement market. On top of that the technology is compatible with multiple other applications (within aviation, customer service, health care etc.).",4,"Some of the questions could have had an option to give an additional explanation,but I understand this could drastically complicate the evaluation of responses.","project","questionnaireid","founder"
"Name founder","Male",21,"email","url_linkedin_profile","proyect name","Software","To provide a product/service that is useful to a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Take advantage of business opportunity",4,"Spanish",80,"CEO",168,true,"N/A","N/A","To solve a specific problem for a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Undergraduate","Social sciences (e.g., psychology, politics, educational science)",4,1,2,false,9000,true,50,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",1000,100000,false,2,"Incubator",1,"Las habilidades del equipo deben de crecer con la empresa, mejorando desde desarrollo de software hasta ventas.","Equipo técnico y marketing (ambos optimizados).",true,"leader name","2020-04-01",true,"Ltd (Spanish S.L.)","2020-06-23","MVP","Pre-seed","url_project","url_project_linkedin","Digitalizamos la consulta de nuestros psicólogos.",true,true,"B2B2C",true,0,"Excellent",5,300,20000,500000,12,false,"Sondermind",4,"Spain","Valencia","Spain",true,"ifeel",,3,true,33942880000,150,"Tech","Nuestra web antigua, nueva plataforma, base de datos.","2021-09-01",true,"M&A","MBO",,"N/A",4,"Dejar más libertad de respuesta.","project","questionnaireid","founder"
"Name founder","Male",21,"email","url_linkedin_profile","proyect name","Software","To provide a product/service that is useful to a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Take advantage of business opportunity",0,"Spanish",5,,2,false,"[""Other ventures""]",false,"To solve a specific problem for a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Undergraduate","Mathematics and natural sciences",2,2,1,false,0,true,4,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",1000,10000,false,2,"Incubator",1,"Technical Skills","Full Stack Devs",true,"leader name","2020-04-01",true,"Ltd (Spanish S.L.)","2020-06-23","MVP","Pre-seed","url_project","url_project_linkedin","SaaS Enabled Marketplace for Psychologists",true,false,"B2C",false,0,"Excellent",10,0,20000,500000,12,false,"Sondermind",4,"Spain","Valencia","Spain",true,"ifeel",,3,false,33950200000,150,"Tech","IP: website, new software, database","2021-09-01",true,"M&A","MBO","[""Investors"",""Incubators/accelerators"",""Suppliers"",""Distributors""]","N/A",4,"Make it shorter, and the questions need to be to the point and following a coherent order.","project","questionnaireid","founder"
"Name founder","Female",28,"email","url_linkedin_profile","proyect name","Sustainability","To operate my firm on the basis of solid management practices","Take advantage of business opportunity",8,"Spanish",55,"CEO",50,true,"N/A","N/A","To play a proactive role in changing how the world operates","Masters","Law & Economics (incl. business sciences)",8,2,3,false,0,true,10,true,"To convince others that private firms are indeed able to address the type of societal challenges that my firm addresses (e.g., social justice, environmental protection)",4000,100000,false,2,"Incubator",1,"Tech skills, operational skills","CTO",true,"leader name","2020-03-01",true,"Ltd (Spanish S.L.)","2020-08-18","Product-Market fit","Pre-seed","url_project","url_project_linkedin","Flexible furniture renting that supports circular economy",true,true,"B2B2C",true,200,"Excellent",0,298,36746,89922,12,false,"https://www.livefeather.com/",2,"Spain","Madrid","Spain",true,"https://www.rentchester.com/","Quality",0,"N/A",1250000000,3,"Physical products","Tech Platform, brand, Know how","2021-09-01",true,"MBO","In case of emergency our Plan B would be looking for a Industrial Partner so we can serve our clients.  This would be our last option because we consider that scale up would be more difficult.","[""Incubators/accelerators"",""Suppliers"",""Distributors"",""Investors""]","I have always wanted to found my own company, I've tried twice, and I will keep trying until I make it. Now I have guidance (DEMIUM) and a Team, and this makes the difference. We are achiving our objectives without resources, but we need them to serve our clients and to scale. Please feel free to contact me for further information if needed.",5,"May be the option to describe some numbers","project","questionnaireid","founder"
"Name founder","Female",29,"email","url_linkedin_profile","proyect name","Sustainability","To operate my firm on the basis of solid management practices","Take advantage of business opportunity",0,"Spanish",30,,50,true,"N/A","N/A","To play a proactive role in changing how the world operates","Masters","Law & Economics (incl. business sciences)",4,0,3,false,0,true,18,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",0,70000,false,2,"Incubator",1,"Tech and Ops","CTO",true,"leader name","2020-03-01",true,"Ltd (Spanish S.L.)","2020-08-18","Product-Market fit","Pre-seed","url_project","url_project_linkedin","Flexible renting of furniture which encourages sustainable consumption.",true,true,"B2B2C",true,200,"Excellent",0,298,36746,89922,12,false,"Feather",2,"Spain","Madrid","Spain",true,"Rentchester","Quality",0,"N/A",1250000000,3,,"First version internal platform, brand and know how","2021-09-01",true,"MBO","In case of emergency our Plan B would be looking for a Industrial Partner so we can serve our clients.  This would be our last option because we consider that scale up would be more difficult","[""Incubators/accelerators"",""Distributors"",""Suppliers"",""Investors""]","At Furnilix, I feel for the first time that I am close to achieve something ""great"", my partner is unbeatable, currently being only her and I, we are reaching our objectives without resources and the truth is, we need them to be able to serve the first big client and grow, as we continue to generate interest and generate proposals.",3,"being shorter it would be better :)","project","questionnaireid","founder"
"Name founder","Male",31,"email","url_linkedin_profile","proyect name","Commerce and Shopping","To have thoroughly analyzed the financial prospects of my business","Take advantage of business opportunity",8,"Ukrainian",40,"CEO",32,false,"[""Part-time Job""]",true,"To play a proactive role in changing how the world operates","Masters","Science of art (e.g., art, design, dramatics, music)",13,7,4,false,12500,true,2,false,"To establish a strong competitive advantage and significantly outperform other firms in my domain",2000,98500,false,2,"Incubator",1,"Pitching, sales","Front-end developer, sales person",true,"leader name","2019-08-01",true,"Ltd (Spanish S.L.)","2020-09-30","MVP","Pre-seed","url_project","url_project_linkedin","B2B Marketplace for fashion manufacturing",true,true,"B2B",false,120,"Excellent",0,0,12400000,"N/A",6,false,"Alibaba",2,"UK","London",,true,"Premiere Vision","Service",1,true,2500000000000,5,"Marketing","Idea, vision, and connections","2021-08-31",true,"IPO","Merger","[""Suppliers""]","Consider fashion as a business not as a fancy thing.",5,"Nothing","project","questionnaireid","founder"
"Name founder","Male",28,"email","url_linkedin_profile","proyect name","Commerce and Shopping","To make the world a “better place” (e.g., by pursuing social justice, protecting the environment)","Take advantage of business opportunity",4,"Ukrainian",40,"CTO",30,false,"[""Full-time Job""]",true,"To play a proactive role in changing how the world operates","Masters","Engineering (incl. computer sciences and architecture)",10,6,4,false,0,true,2,false,"To establish a strong competitive advantage and significantly outperform other firms in my domain",2000,80000,false,2,"Incubator",1,"Management & sales","CTO/COO",true,"leader name","2019-08-01",true,"Ltd (Spanish S.L.)","2020-09-30","MVP","Pre-seed","url_project","url_project_linkedin","B2B marketplace for fashion manufacturing",true,true,"B2B",false,120,"Excellent",0,0,12400000,"N/A",6,false,"https://alibaba.com",2,"UK","London",,true,"https://www.premierevision.com/","Service",1,true,2500000000000,5,"Tech","Idea and connections","2021-08-31",true,"IPO","Merger and acquisition","[""Incubators/accelerators"",""Suppliers""]","We have a perfect team for this project",5,"Nothing","project","questionnaireid","founder"
"Name founder","Male",23,"email","url_linkedin_profile","proyect name","Food and Beverage","To provide a product/service that is useful to a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Take advantage of business opportunity",0,"Greek",65,"CEO",70,true,"N/A","N/A","To solve a specific problem for a group of people that I strongly identify with (e.g., friends, colleagues, club, community)","Masters",,1,1,0,"N/A",0,true,8,true,"To establish a strong competitive advantage and significantly outperform other firms in my domain",2000,100000,false,2,"Family",1,"Marketing","CMO",true,"leader name","2020-02-15",true,"Ltd (Spanish S.L.)","2020-02-25",,"Pre-seed","url_project","url_project_linkedin","The #1 Subscription box for Greek alcohol and snacks",true,true,"B2C",true,55,"Excellent",70,585,200000,500000,12,false,"-",1,"UK","Incorporated in Cardiff's company house, head office in London",,true,"https://monthlyflavors.com/","Service",1,false,90000000,10,"Marketing","-","2025-01-01",true,"MBO","Outside sale","[""Incubators/accelerators"",""Suppliers""]","N/A",5,"I could only say make it shorter but all the information asked was critical so not really much room for improvement there!","project","questionnaireid","founder"
"Name founder","Male",42,"email","url_linkedin_profile","proyect name","Other","To make the world a “better place” (e.g., by pursuing social justice, protecting the environment)","Take advantage of business opportunity",20,"Greek",39,"CEO",30,false,"[""Other ventures""]",true,"To play a proactive role in changing how the world operates","Masters","Arts / Humanities (e.g., linguistics, cultural studies, religion, philosophy, history)",25,5,8,true,300000,true,4,true,"To have a strong focus on what the firm is able to achieve for society-at-large",2500,50000,false,2,"Incubator",1,"Legal and HR","Operations",true,"leader name","2019-10-15",true,"Ltd (Spanish S.L.)","2020-02-18","Product-Market fit","Pre-seed","url_project","url_project_linkedin","We rent and sell Art to individuals, professionals and businesses",true,true,"B2C",false,15,"Excellent",0,0,165000,450000,9,false,"Not in South Europe. In UK similar is RiseArt, and in S.Korea there's OpenGallery. In US there's TurningArt, but not so much like us",3,"UK","London","Greece",false,"None","Service",1,false,6000000000,5,"Salaries (Team)","Aggreements with Artists and Artworks.","2022-06-15",true,"PE","Work with galleries and provide them with leasing services for businesses, hotels etc.","[""Media"",""Incubators/accelerators"",""Suppliers""]","So much more actually...",4,"Not actually change but also have more options in some questions","project","questionnaireid","founder"
